,Product Name,Price
0,2006 Von Dutch flying aceman,"$7,500.00"
1,1967 Harley-Davidson FL,"$4,850.00"
2,2006 Custom Built Motorcycles Chopper,"$8,000.00"
3,2011 Custom Built Motorcycles Chopper,"$13,750.00"
4,2023 Custom Built Motorcycles Chopper,"$65,000.00"
5,2008 Custom Built Motorcycles BIG BEAR SLED 300 EFA PRO STREET SOFTAIL CHOPPER,"$21,995.00"
6,2025 Custom Built Motorcycles Chopper,"$55,000.00"
7,1981 Custom Built Motorcycles Chopper,"$25,000.00"
8,2005 American Ironhorse Texas chopper,"$2,825.00"
9,1956 Harley-Davidson Other,"$24,999.00"
10,2008 Custom Built Motorcycles Chopper,"$14,800.00"
11,2006 SWIFT CHOPPER CHOPPER,"$9,995.00"
12,2006 American Ironhorse Texas Chopper,"$13,598.00"
13,1982 Harley-Davidson chopper,"$5,900.00"
14,2003 Bourget Black Jack,"$5,000.00"
15,2016 Harley-Davidson Delkron Billet V-Twin Motor,"$20,000.00"
16,2018 Harley-Davidson Other,"$22,000.00"
17,2004 Custom Built Motorcycles SWIFT PUNISHER PRO-STREET SOFTAIL CHOPPER,"$9,999.00"
18,1967 Harley-Davidson FL,"$19,900.00"
19,2004 AMERICAN IRON HORSE TEAXAS CHOPPER TX AIH,"$9,950.00"
20,2009 Big Dog Mastiff,"$17,000.00"
21,2006 Custom Built Motorcycles Chopper,"$18,000.00"
22,2017 Bourget LOW BLOW STREET SWEEPER SOFTAIL CHOPPER,"$12,995.00"
23,2007 Custom Built Motorcycles Chopper,"$15,000.00"
24,1970 Harley-Davidson Other,"$5,500.00"
25,2014 Other Makes Zero Engineering - Type 9,"$42,000.00"
26,2001 Harley-Davidson Softail,"$7,500.00"
27,2014 Harley-Davidson Softail,"$7,800.00"
28,2010 Harley-Davidson costum,"$26,000.00"
29,2006 Other Makes Reaper,"$11,000.00"
30,"2002 BOURGET KRUZER FXR STYLE RUBBER MOUNTED CHOPPER S&S 113"" V-TWIN ONLY 5226","$9,900.00"
31,2008 Bourget Chopper,"$24,995.00"
32,2008 Bourget KRUZER 330 REAR TIRE PRO STREET SOFTAIL CHOPPER BAGGER,"$19,995.00"
